Date,Open,High,Low,Close,Adj Close,Volume
2022-12-15,3142.0,3161.199951171875,3116.699951171875,3130.60009765625,3104.47119140625,799124
2022-12-16,3115.0,3117.0,3050.300048828125,3055.89990234375,3030.394287109375,1192821
2022-12-19,3062.0,3088.0,3041.0,3080.949951171875,3055.2353515625,655594
2022-12-20,3075.050048828125,3088.64990234375,3018.0,3082.14990234375,3056.425048828125,739257
2022-12-21,3085.0,3112.449951171875,3050.050048828125,3069.64990234375,3044.029541015625,616324
2022-12-22,3074.0,3093.5,3038.050048828125,3088.550048828125,3062.77197265625,663202
2022-12-23,3078.949951171875,3086.85009765625,3036.0,3057.89990234375,3032.377685546875,1230858
2022-12-26,3057.89990234375,3071.89990234375,3028.800048828125,3056.050048828125,3030.543212890625,536884
2022-12-27,3060.0,3129.0,3056.300048828125,3112.60009765625,3086.62109375,729041
2022-12-28,3109.949951171875,3143.800048828125,3105.0,3123.699951171875,3097.62841796875,972274
2022-12-29,3101.0,3125.0,3092.550048828125,3115.14990234375,3089.149658203125,596265
2022-12-30,3130.75,3130.75,3071.300048828125,3087.89990234375,3062.127197265625,836220
2023-01-02,3087.89990234375,3087.89990234375,3021.0,3047.25,3021.816650390625,1015990
2023-01-03,3047.0,3059.949951171875,3025.0,3028.25,3002.97509765625,860367
2023-01-04,3035.0,3050.0,3001.550048828125,3016.85009765625,2991.67041015625,836382
2023-01-05,3039.550048828125,3046.60009765625,2995.39990234375,3004.35009765625,2979.27490234375,1113920
2023-01-06,3010.0,3023.5,2952.0,2978.39990234375,2953.541259765625,1045526
2023-01-09,2993.300048828125,3017.64990234375,2951.0,2984.14990234375,2959.2431640625,808263
2023-01-10,2984.14990234375,2985.0,2952.199951171875,2960.35009765625,2935.64208984375,864325
2023-01-11,2974.89990234375,2974.89990234375,2935.0,2940.39990234375,2915.858154296875,890426
2023-01-12,2939.0,2939.85009765625,2896.0,2915.949951171875,2891.612548828125,1558620
2023-01-13,2925.0,2925.0,2871.75,2909.14990234375,2884.869140625,1507864
2023-01-16,2925.0,2929.60009765625,2896.0,2916.050048828125,2891.711669921875,644073
2023-01-17,2925.0,2944.85009765625,2911.14990234375,2940.89990234375,2916.354248046875,716489
2023-01-18,2947.949951171875,2960.0,2929.35009765625,2945.25,2920.66796875,893808
2023-01-19,2954.89990234375,2973.60009765625,2843.60009765625,2866.14990234375,2842.22802734375,2379947
2023-01-20,2848.0,2848.0,2781.0,2787.800048828125,2764.531982421875,3171005
2023-01-23,2800.0,2800.0,2767.85009765625,2784.449951171875,2761.2099609375,1402260
2023-01-24,2795.0,2827.10009765625,2784.449951171875,2810.60009765625,2787.141845703125,1061471
2023-01-25,2810.89990234375,2811.0,2767.10009765625,2775.0,2751.8388671875,857953
2023-01-27,2766.60009765625,2772.85009765625,2685.85009765625,2722.64990234375,2699.92578125,1801498
2023-01-30,2724.0,2776.0,2696.25,2766.199951171875,2743.1123046875,1171912
2023-01-31,2760.0,2779.949951171875,2718.050048828125,2725.85009765625,2703.09912109375,1961805
2023-02-01,2749.800048828125,2778.0,2704.800048828125,2743.75,2720.849853515625,1176872
2023-02-02,2741.0,2741.0,2694.0,2705.64990234375,2683.067626953125,1308570
2023-02-03,2705.64990234375,2763.89990234375,2700.0,2760.39990234375,2737.360595703125,1278409
2023-02-06,2760.39990234375,2765.0,2718.0,2754.199951171875,2731.21240234375,1120284
2023-02-07,2762.0,2774.5,2748.14990234375,2758.050048828125,2735.0302734375,732250
2023-02-08,2768.0,2784.0,2744.300048828125,2765.60009765625,2742.517578125,811956
2023-02-09,2781.949951171875,2820.35009765625,2766.14990234375,2814.60009765625,2791.1083984375,946372
2023-02-10,2830.0,2830.949951171875,2793.0,2804.60009765625,2781.19189453125,700072
2023-02-13,2814.5,2829.0,2780.0,2790.75,2767.457275390625,467228
2023-02-14,2804.75,2804.75,2765.0,2777.0,2753.822265625,524746
2023-02-15,2777.0,2798.300048828125,2754.0,2786.14990234375,2762.895751953125,817717
2023-02-16,2797.0,2834.35009765625,2790.10009765625,2805.949951171875,2782.5302734375,788964
2023-02-17,2802.949951171875,2845.85009765625,2785.5,2833.60009765625,2809.94970703125,840526
2023-02-20,2845.0,2852.0,2812.10009765625,2825.550048828125,2801.967041015625,646218
2023-02-21,2837.0,2838.699951171875,2805.0,2817.10009765625,2793.58740234375,631934
2023-02-22,2809.949951171875,2813.949951171875,2780.0,2795.949951171875,2772.61376953125,580270
2023-02-23,2805.0,2805.550048828125,2700.10009765625,2705.949951171875,2683.365234375,1790570
2023-02-24,2712.10009765625,2762.0,2710.0,2738.5,2715.6435546875,1429040
2023-02-27,2740.39990234375,2758.64990234375,2725.050048828125,2749.89990234375,2726.9482421875,561317
2023-02-28,2750.0,2839.0,2727.449951171875,2828.800048828125,2805.189697265625,1815923
2023-03-01,2828.0,2853.300048828125,2816.050048828125,2840.89990234375,2817.188720703125,816598
2023-03-02,2831.0,2849.0,2811.0,2833.89990234375,2810.2470703125,604523
2023-03-03,2837.050048828125,2852.0,2810.64990234375,2828.85009765625,2805.239501953125,679295
2023-03-06,2843.0,2884.0,2830.25,2864.550048828125,2840.6416015625,1050267
2023-03-08,2870.0,2870.0,2827.0,2859.550048828125,2835.68310546875,580250
2023-03-09,2862.0,2872.449951171875,2836.85009765625,2853.550048828125,2829.7333984375,774224
2023-03-10,2844.0,2844.0,2807.0,2830.199951171875,2806.578125,489978
2023-03-13,2823.5,2849.449951171875,2772.199951171875,2784.199951171875,2760.962158203125,813217
2023-03-14,2782.949951171875,2786.949951171875,2740.050048828125,2745.60009765625,2722.684326171875,1060450
2023-03-15,2772.199951171875,2866.35009765625,2765.199951171875,2827.39990234375,2803.80126953125,2170346
2023-03-16,2850.0,2900.0,2828.699951171875,2893.25,2869.101806640625,1755487
2023-03-17,2923.949951171875,2923.949951171875,2855.050048828125,2862.64990234375,2838.757080078125,1848073
2023-03-20,2915.0,2915.0,2831.050048828125,2855.14990234375,2831.31982421875,1074367
2023-03-21,2858.14990234375,2887.0,2835.0,2839.10009765625,2815.40380859375,691891
2023-03-22,2825.0,2853.14990234375,2814.85009765625,2839.85009765625,2816.147705078125,731807
2023-03-23,2817.10009765625,2823.0,2767.75,2797.800048828125,2774.448486328125,1016581
2023-03-24,2797.800048828125,2815.64990234375,2772.85009765625,2798.5,2775.142578125,784111
2023-03-27,2798.5,2820.0,2786.5,2803.75,2780.348876953125,791560
2023-03-28,2791.0,2810.60009765625,2765.0,2784.449951171875,2761.2099609375,558581
2023-03-29,2784.449951171875,2793.75,2755.0,2770.5,2747.37646484375,1087648
2023-03-31,2756.050048828125,2775.0,2747.5,2761.64990234375,2738.600341796875,1967803
2023-04-03,2746.949951171875,2781.64990234375,2708.64990234375,2777.0,2753.822265625,1035295
2023-04-05,2760.0,2811.550048828125,2752.25,2808.5,2785.05908203125,668643
2023-04-06,2807.449951171875,2825.0,2786.800048828125,2809.85009765625,2786.398193359375,627554
2023-04-10,2810.0,2810.0,2755.10009765625,2776.35009765625,2753.177490234375,1215461
2023-04-11,2790.0,2790.0,2750.050048828125,2753.800048828125,2730.81591796875,1246379
2023-04-12,2755.550048828125,2806.199951171875,2751.0,2786.75,2763.490966796875,2235399
2023-04-13,2786.699951171875,2813.300048828125,2782.0,2809.75,2786.298828125,602597
2023-04-17,2825.0,2845.60009765625,2806.0,2843.10009765625,2819.37060546875,754555
2023-04-18,2848.0,2858.449951171875,2830.10009765625,2854.60009765625,2830.774658203125,717724
2023-04-19,2836.35009765625,2852.699951171875,2800.64990234375,2809.699951171875,2786.249267578125,799624
2023-04-20,2820.0,2851.0,2813.14990234375,2843.85009765625,2820.1142578125,761101
2023-04-21,2847.10009765625,2887.0,2847.10009765625,2882.10009765625,2858.045166015625,894930
2023-04-24,2882.10009765625,2898.0,2852.0,2891.10009765625,2866.969970703125,782967
2023-04-25,2891.050048828125,2901.75,2864.14990234375,2898.0,2873.812255859375,636120
