,Date,Actual,Forecast
160,2023-08-08,3348.050048828125,
161,2023-08-09,3331.0,
162,2023-08-10,3237.89990234375,
163,2023-08-11,3185.35009765625,
164,2023-08-14,3202.60009765625,
165,2023-08-16,3194.050048828125,
166,2023-08-17,3183.25,
167,2023-08-18,3163.550048828125,
168,2023-08-21,3182.300048828125,
169,2023-08-22,3179.699951171875,
170,2023-08-23,3168.800048828125,
171,2023-08-24,3225.60009765625,
172,2023-08-25,3259.300048828125,
173,2023-08-28,3259.699951171875,
174,2023-08-29,3285.699951171875,
175,2023-08-30,3294.699951171875,
176,2023-08-31,3256.10009765625,
177,2023-09-01,3259.550048828125,
178,2023-09-04,3235.550048828125,
179,2023-09-05,3223.300048828125,
180,2023-09-06,3225.300048828125,
181,2023-09-07,3246.35009765625,
182,2023-09-08,3238.050048828125,
183,2023-09-11,3259.39990234375,
184,2023-09-12,3256.85009765625,
185,2023-09-13,3277.75,
186,2023-09-14,3240.25,
187,2023-09-15,3196.64990234375,
188,2023-09-18,3206.300048828125,
189,2023-09-20,3214.35009765625,
190,2023-09-21,3244.199951171875,
191,2023-09-22,3274.85009765625,
192,2023-09-25,3323.25,
193,2023-09-26,3292.800048828125,
194,2023-09-27,3301.800048828125,
195,2023-09-28,3170.35009765625,
196,2023-09-29,3161.050048828125,
197,2023-10-03,3166.85009765625,
198,2023-10-04,3169.89990234375,
199,2023-10-05,3206.25,
200,2023-10-06,3195.75,
201,2023-10-09,3152.800048828125,
202,2023-10-10,3151.5,
203,2023-10-11,3163.89990234375,
204,2023-10-12,3159.10009765625,
205,2023-10-13,3148.800048828125,
206,2023-10-16,3112.050048828125,
207,2023-10-17,3113.550048828125,
208,2023-10-18,3096.449951171875,
209,2023-10-19,3101.800048828125,
210,2023-10-20,3105.85009765625,
211,2023-10-23,3072.0,
212,2023-10-25,3060.800048828125,
213,2023-10-26,2960.300048828125,
214,2023-10-27,2955.14990234375,
215,2023-10-30,2967.10009765625,
216,2023-10-31,2995.699951171875,
217,2023-11-01,2934.550048828125,
218,2023-11-02,2955.39990234375,
219,2023-11-03,2977.85009765625,
220,2023-11-06,3029.300048828125,
221,2023-11-07,3033.35009765625,
222,2023-11-08,3095.25,
223,2023-11-09,3080.199951171875,
224,2023-11-10,3076.449951171875,
225,2023-11-13,3085.60009765625,
226,2023-11-15,3116.199951171875,
227,2023-11-16,3130.300048828125,
228,2023-11-17,3168.89990234375,
229,2023-11-20,3140.35009765625,
230,2023-11-21,3133.25,
231,2023-11-22,3133.0,
232,2023-11-23,3122.949951171875,
233,2023-11-24,3136.14990234375,
234,2023-11-28,3148.35009765625,
235,2023-11-29,3148.35009765625,
236,2023-11-30,3119.89990234375,
237,2023-12-01,3173.39990234375,
238,2023-12-04,3194.550048828125,
239,2023-12-05,3226.25,
240,2023-12-06,3252.550048828125,
241,2023-12-07,3251.800048828125,
242,2023-12-08,3232.0,
243,2023-12-11,3233.0,
244,2023-12-12,3224.75,
245,2023-12-13,3243.64990234375,
246,2023-12-14,3241.35009765625,
247,2023-12-15,3313.89990234375,3313.89990234375
248,2023-12-16,,3284.125244140625
249,2023-12-17,,3290.57568359375
250,2023-12-18,,3297.63427734375
251,2023-12-19,,3310.813720703125
252,2023-12-20,,3309.4111328125
253,2023-12-21,,3317.320556640625
254,2023-12-22,,3325.210205078125
255,2023-12-23,,3334.827880859375
